hora,media_alta_intensidade,media_ativo,media_sedentario
0,51.0,39.0,40.0
1,32.0,19.0,21.0
2,25.0,8.0,18.0
3,7.0,2.0,8.0
4,31.0,6.0,7.0
5,68.0,61.0,23.0
6,283.0,248.0,91.0
7,528.0,352.0,175.0
8,881.0,433.0,208.0
9,672.0,578.0,240.0
10,636.0,662.0,309.0
11,671.0,606.0,272.0
12,879.0,759.0,271.0
13,970.0,611.0,286.0
14,1101.0,562.0,255.0
15,645.0,441.0,270.0
16,850.0,579.0,274.0
17,1053.0,577.0,283.0
18,1043.0,777.0,277.0
19,1115.0,659.0,274.0
20,507.0,481.0,206.0
21,594.0,331.0,152.0
22,533.0,180.0,123.0
23,250.0,109.0,66.0
